,Close,Close,Close,Close,Close,Close,Close,Close,Close,C_Close
2018-04-02,,,,10264.0,10288.25,10301.4,,,,10264.0
2018-04-03,,,,10285.0,10313.9,10327.4,,,,10285.0
2018-04-04,,,,10146.6,10175.5,10194.7,,,,10146.6
2018-04-05,,,,10352.2,10380.95,10398.05,,,,10352.2
2018-04-06,,,,10352.85,10385.1,10399.3,,,,10352.85
2018-04-09,,,,10393.9,10424.8,10438.55,,,,10393.9
2018-04-10,,,,10421.5,10452.95,10468.0,,,,10421.5
2018-04-11,,,,10425.0,10453.3,10468.55,,,,10425.0
2018-04-12,,,,10465.0,10492.95,10507.5,,,,10465.0
2018-04-13,,,,10490.4,10519.15,10533.2,,,,10490.4
2018-04-16,,,,10542.9,10571.0,10585.5,,,,10542.9
2018-04-17,,,,10551.2,10579.35,10589.2,,,,10551.2
2018-04-18,,,,10538.85,10567.1,10577.85,,,,10538.85
2018-04-19,,,,10578.1,10602.4,10612.75,,,,10578.1
2018-04-20,,,,10585.5,10613.35,10627.6,,,,10585.5
2018-04-23,,,,10585.45,10612.8,10625.6,,,,10585.45
2018-04-24,,,,10617.9,10642.15,10654.35,,,,10617.9
2018-04-25,,,,10569.05,10591.7,10605.2,,,,10569.05
2018-04-26,,,,10612.2,10632.5,10639.65,,,,10612.2
2018-04-27,,,,,10723.8,10729.9,10750.45,,,10723.8
2018-04-30,,,,,10780.3,10788.9,10809.15,,,10780.3
2018-05-02,,,,,10739.4,10746.9,10768.4,,,10739.4
2018-05-03,,,,,10706.5,10719.45,10740.35,,,10706.5
2018-05-04,,,,,10658.75,10669.5,10690.05,,,10658.75
2018-05-07,,,,,10739.85,10748.6,10768.95,,,10739.85
2018-05-08,,,,,10735.05,10742.9,10763.15,,,10735.05
2018-05-09,,,,,10769.3,10777.0,10793.9,,,10769.3
2018-05-10,,,,,10724.9,10735.3,10754.25,,,10724.9
2018-05-11,,,,,10820.1,10827.8,10843.55,,,10820.1
2018-05-14,,,,,10814.7,10821.95,10840.05,,,10814.7
2018-05-15,,,,,10818.6,10824.25,10843.85,,,10818.6
2018-05-16,,,,,10761.25,10772.8,10786.85,,,10761.25
2018-05-17,,,,,10696.2,10709.05,10730.95,,,10696.2
2018-05-18,,,,,10597.05,10605.95,10630.0,,,10597.05
2018-05-21,,,,,10538.75,10552.35,10574.15,,,10538.75
2018-05-22,,,,,10552.85,10568.0,10591.05,,,10552.85
2018-05-23,,,,,10426.6,10442.85,10464.75,,,10426.6
2018-05-24,,,,,10505.2,10516.45,10535.25,,,10505.2
2018-05-25,,,,,10602.4,10616.2,10633.3,,,10602.4
2018-05-28,,,,,10678.85,10691.2,10708.15,,,10678.85
2018-05-29,,,,,10615.55,10628.05,10644.2,,,10615.55
2018-05-30,,,,,10604.5,10614.45,10626.05,,,10604.5
2018-05-31,,,,,10727.0,10702.15,10711.95,,,10727.0
2018-06-01,,,,,,10683.9,10698.0,10719.15,,10683.9
2018-06-04,,,,,,10598.7,10616.45,10634.15,,10598.7
2018-06-05,,,,,,10596.45,10615.6,10634.4,,10596.45
2018-06-06,,,,,,10686.25,10701.0,10718.05,,10686.25
2018-06-07,,,,,,10765.2,10776.15,10795.6,,10765.2
2018-06-08,,,,,,10748.1,10764.1,10783.85,,10748.1
2018-06-11,,,,,,10785.8,10797.6,10818.3,,10785.8
2018-06-12,,,,,,10839.05,10850.85,10869.9,,10839.05
2018-06-13,,,,,,10844.85,10856.75,10877.05,,10844.85
2018-06-14,,,,,,10813.9,10825.85,10847.9,,10813.9
2018-06-15,,,,,,10814.65,10823.8,10847.3,,10814.65
2018-06-18,,,,,,10789.6,10800.5,10823.55,,10789.6
2018-06-19,,,,,,10719.85,10729.4,10755.05,,10719.85
2018-06-20,,,,,,10790.65,10796.25,10823.2,,10790.65
2018-06-21,,,,,,10737.15,10745.6,10771.65,,10737.15
2018-06-22,,,,,,10833.95,10842.9,10865.25,,10833.95
2018-06-25,,,,,,10757.65,10765.4,10791.1,,10757.65
2018-06-26,,,,,,10766.9,10770.9,10796.35,,10766.9
2018-06-27,,,,,,10673.45,10675.9,10696.35,,10673.45
2018-06-28,,,,,,10590.4,10571.1,10592.55,,10590.4
