,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest
2018-04-02,,,,19147425.0,1640475.0,44400,,,
2018-04-03,,,,19555050.0,1345650.0,70275,,,
2018-04-04,,,,22041900.0,1402275.0,87450,,,
2018-04-05,,,,21392700.0,1455225.0,110625,,,
2018-04-06,,,,21992325.0,1457325.0,125475,,,
2018-04-09,,,,22393125.0,1490325.0,128400,,,
2018-04-10,,,,22591725.0,1560300.0,129450,,,
2018-04-11,,,,23691150.0,1589775.0,132525,,,
2018-04-12,,,,24757725.0,1588950.0,143250,,,
2018-04-13,,,,25459275.0,1638000.0,156000,,,
2018-04-16,,,,25689825.0,1711425.0,168675,,,
2018-04-17,,,,26105100.0,1852725.0,179550,,,
2018-04-18,,,,26475675.0,2025450.0,199950,,,
2018-04-19,,,,26521200.0,2317050.0,226350,,,
2018-04-20,,,,26393400.0,2867250.0,329250,,,
2018-04-23,,,,24671025.0,4955400.0,438600,,,
2018-04-24,,,,21177525.0,7652850.0,474825,,,
2018-04-25,,,,16665600.0,12947700.0,556125,,,
2018-04-26,,,,8823900.0,22426275.0,628500,,,
2018-04-27,,,,,23363475.0,738750,19725.0,,
2018-04-30,,,,,23795100.0,747000,31875.0,,
2018-05-02,,,,,23723400.0,779025,43275.0,,
2018-05-03,,,,,23720175.0,789225,47175.0,,
2018-05-04,,,,,23614275.0,820050,51975.0,,
2018-05-07,,,,,23858400.0,839925,46575.0,,
2018-05-08,,,,,23970525.0,908775,55125.0,,
2018-05-09,,,,,24383025.0,937200,53925.0,,
2018-05-10,,,,,24072750.0,942150,59475.0,,
2018-05-11,,,,,25081200.0,976050,70200.0,,
2018-05-14,,,,,24557025.0,1051050,73425.0,,
2018-05-15,,,,,24039450.0,1121175,90750.0,,
2018-05-16,,,,,23602875.0,1196475,105150.0,,
2018-05-17,,,,,23526450.0,1250475,121050.0,,
2018-05-18,,,,,24063900.0,1346025,122325.0,,
2018-05-21,,,,,23210325.0,1404450,126150.0,,
2018-05-22,,,,,23037900.0,1455600,118800.0,,
2018-05-23,,,,,23082300.0,1560075,136725.0,,
2018-05-24,,,,,22592175.0,1724625,142875.0,,
2018-05-25,,,,,22137525.0,2457150,162975.0,,
2018-05-28,,,,,20856975.0,4173225,203700.0,,
2018-05-29,,,,,18960600.0,7828500,267900.0,,
2018-05-30,,,,,16186125.0,11523000,419250.0,,
2018-05-31,,,,,11692125.0,18993975,593850.0,,
2018-06-01,,,,,,19495050,605175.0,16575.0,
2018-06-04,,,,,,20347275,592650.0,29625.0,
2018-06-05,,,,,,20465400,593850.0,45000.0,
2018-06-06,,,,,,20637825,697800.0,54450.0,
2018-06-07,,,,,,21831825,813000.0,83400.0,
2018-06-08,,,,,,22359600,804750.0,83850.0,
2018-06-11,,,,,,23235750,833175.0,98100.0,
2018-06-12,,,,,,23730675,887625.0,113550.0,
2018-06-13,,,,,,24551625,918300.0,124575.0,
2018-06-14,,,,,,23866125,903525.0,131250.0,
2018-06-15,,,,,,24638775,915675.0,142575.0,
2018-06-18,,,,,,24882750,942075.0,151725.0,
2018-06-19,,,,,,24744450,1067775.0,162075.0,
2018-06-20,,,,,,24572400,1253700.0,171150.0,
2018-06-21,,,,,,24651375,1425825.0,189975.0,
2018-06-22,,,,,,23943675,1703775.0,210975.0,
2018-06-25,,,,,,22933650,3884850.0,220050.0,
2018-06-26,,,,,,20433375,7134450.0,239325.0,
2018-06-27,,,,,,16691400,11714850.0,287925.0,
2018-06-28,,,,,,10754400,18788625.0,375150.0,
