,Date,symbol,exp_date,temp_Close,Strike_High,Strike_Low,CE_H_I,CE_L_I,PE_H_I,PE_L_I,days_to_expire
0,29-JUN-2018,NIFTY,26-Jul-2018,10694.8,10700.0,10600.0,9.0179443359375,8.6669921875,14.1143798828125,14.54925537109375,27
1,02-JUL-2018,NIFTY,26-Jul-2018,10658.25,10700.0,10600.0,10.029792785644531,9.952545166015625,14.556884765625,14.965057373046875,24
2,03-JUL-2018,NIFTY,26-Jul-2018,10723.95,10800.0,10700.0,9.2620849609375,9.287834167480469,14.001846313476562,14.375686645507812,23
3,04-JUL-2018,NIFTY,26-Jul-2018,10771.35,10800.0,10700.0,9.002685546875,8.9111328125,13.69476318359375,14.047622680664062,22
4,05-JUL-2018,NIFTY,26-Jul-2018,10751.75,10800.0,10700.0,9.08660888671875,9.015083312988281,13.43536376953125,13.763427734375,21
5,06-JUL-2018,NIFTY,26-Jul-2018,10778.4,10800.0,10700.0,8.75091552734375,8.663177490234375,13.235092163085938,13.61083984375,20
6,09-JUL-2018,NIFTY,26-Jul-2018,10859.85,10900.0,10800.0,8.6822509765625,8.514404296875,12.874603271484375,13.254165649414062,17
7,10-JUL-2018,NIFTY,26-Jul-2018,10947.85,11000.0,10900.0,8.4686279296875,8.260726928710938,12.5274658203125,12.85552978515625,16
8,11-JUL-2018,NIFTY,26-Jul-2018,10938.6,11000.0,10900.0,9.124755859375,9.0484619140625,12.986183166503906,13.302803039550781,15
9,12-JUL-2018,NIFTY,26-Jul-2018,11016.25,11100.0,11000.0,8.906364440917969,8.463859558105469,12.731552124023438,12.481689453125,14
10,13-JUL-2018,NIFTY,26-Jul-2018,11020.0,11100.0,11000.0,8.60595703125,8.1939697265625,12.416839599609375,12.147903442382812,13
11,16-JUL-2018,NIFTY,26-Jul-2018,10944.25,11000.0,10900.0,9.674072265625,9.210586547851562,12.908935546875,13.03863525390625,10
12,17-JUL-2018,NIFTY,26-Jul-2018,11023.75,11100.0,11000.0,9.4451904296875,9.035110473632812,12.4053955078125,12.359619140625,9
13,18-JUL-2018,NIFTY,26-Jul-2018,10978.6,11000.0,10900.0,10.437965393066406,10.5133056640625,13.61083984375,14.495849609375,8
