symbol,Days,RSI,BBANDS,MA1,MA2,MA3,MA4,MSE,RMSE,Actual,Forcasted
BAJAJ-AUTO,1,10,10,5,7,8,-,0.002917091544524655,0.05401010594809693,[[2952.6]],[[2899.8953]]
BAJAJ-AUTO,10,10,10,5,7,8,-,0.006070895926482963,0.07791595424868364,"[[2864.2 ]
 [2862.05]
 [2857.95]
 [2852.7 ]
 [2852.15]
 [2886.8 ]
 [2900.35]
 [2884.95]
 [2947.15]
 [2952.6 ]]","[[2583.0825]
 [2557.4207]
 [2614.85  ]
 [2587.542 ]
 [2560.4753]
 [2557.3936]
 [2532.6638]
 [2555.2078]
 [2602.467 ]
 [2703.8796]]"
BAJAJ-AUTO,60,10,10,5,7,8,-,0.02037584557043034,0.14274398610950423,"[[3337.15]
 [3412.95]
 [3241.3 ]
 [3185.55]
 [3135.1 ]
 [3135.55]
 [3157.95]
 [3099.25]
 [3154.1 ]
 [3109.75]
 [3143.5 ]
 [3103.9 ]
 [3030.6 ]
 [3049.85]
 [3012.6 ]
 [2974.3 ]
 [2986.4 ]
 [3008.7 ]
 [3034.7 ]
 [3020.6 ]
 [3020.9 ]
 [2943.55]
 [2899.2 ]
 [2903.9 ]
 [2923.9 ]
 [2935.4 ]
 [2957.75]
 [2971.75]
 [2950.55]
 [2948.75]
 [2910.45]
 [2849.45]
 [2873.  ]
 [2851.8 ]
 [2834.95]
 [2789.95]
 [2848.65]
 [2798.3 ]
 [2744.7 ]
 [2808.95]
 [2792.  ]
 [2766.  ]
 [2808.15]
 [2786.4 ]
 [2772.45]
 [2766.45]
 [2755.55]
 [2763.2 ]
 [2786.2 ]
 [2838.3 ]
 [2864.2 ]
 [2862.05]
 [2857.95]
 [2852.7 ]
 [2852.15]
 [2886.8 ]
 [2900.35]
 [2884.95]
 [2947.15]
 [2952.6 ]]","[[3188.9082]
 [3126.9395]
 [3160.8547]
 [3187.8816]
 [3295.3433]
 [3230.788 ]
 [3287.1477]
 [3194.0127]
 [3175.7578]
 [3184.912 ]
 [3231.3733]
 [3332.697 ]
 [3384.598 ]
 [3279.092 ]
 [3334.989 ]
 [3283.9111]
 [3309.9158]
 [3364.5747]
 [3373.2468]
 [3232.8203]
 [3149.1018]
 [3104.563 ]
 [3024.937 ]
 [3152.6665]
 [3204.271 ]
 [3181.2102]
 [3123.7214]
 [3086.8909]
 [3085.6338]
 [3217.8704]
 [3209.923 ]
 [3363.544 ]
 [3344.1345]
 [3308.551 ]
 [3379.006 ]
 [3451.4084]
 [3403.0513]
 [3324.6619]
 [3349.6714]
 [3297.1772]
 [3308.2341]
 [3246.3452]
 [3244.105 ]
 [3250.9902]
 [3250.3564]
 [3221.1404]
 [3152.6826]
 [3132.0657]
 [3086.2866]
 [3052.395 ]
 [3046.7134]
 [3118.8225]
 [3152.5986]
 [3148.073 ]
 [3267.5132]
 [3341.0525]
 [3424.132 ]
 [3364.973 ]
 [3444.9124]
 [3465.4714]]"
SYNDIBANK,1,10,10,5,7,8,-,0.0017124986612090305,0.0413823472172499,[[55.1]],[[59.487408]]
SYNDIBANK,10,10,10,5,7,8,-,0.005975805961361328,0.07730333732356791,"[[57.95]
 [57.35]
 [57.05]
 [55.4 ]
 [55.2 ]
 [54.75]
 [53.95]
 [52.85]
 [54.25]
 [55.1 ]]","[[69.253006]
 [65.9912  ]
 [70.97005 ]
 [71.47716 ]
 [72.0347  ]
 [71.21756 ]
 [68.71734 ]
 [68.33499 ]
 [67.59748 ]
 [66.04567 ]]"
BAJAJ-AUTO,1,10,10,5,7,8,-,0.0034328045369380173,0.058590140270680505,,[[2918.8728]]
BAJAJ-AUTO,10,10,10,5,7,8,-,0.006639647253716437,0.08148403066685175,,"[[2849.9536]
 [2833.7783]
 [2816.7336]
 [2831.0293]
 [2800.8206]
 [2872.9458]
 [2914.8154]
 [2894.5962]
 [2981.4243]
 [2986.6458]]"
BAJAJ-AUTO,60,10,10,5,7,8,-,0.020708482406890168,0.1439044210818075,,"[[3308.4705]
 [3415.751 ]
 [3320.3318]
 [3120.7476]
 [2986.2925]
 [3031.0894]
 [3039.747 ]
 [2973.21  ]
 [3043.9058]
 [3005.7522]
 [3012.5305]
 [2956.2493]
 [2886.6074]
 [2887.8552]
 [2873.9558]
 [2835.3772]
 [2840.7808]
 [2853.0496]
 [2908.6038]
 [2906.3862]
 [2911.8323]
 [2789.228 ]
 [2735.5889]
 [2711.009 ]
 [2743.2642]
 [2772.9216]
 [2821.5342]
 [2849.955 ]
 [2811.2864]
 [2798.6353]
 [2758.2056]
 [2676.3826]
 [2701.0852]
 [2691.508 ]
 [2674.656 ]
 [2637.7764]
 [2713.4602]
 [2676.2646]
 [2648.222 ]
 [2694.3936]
 [2672.1567]
 [2647.0542]
 [2703.2317]
 [2676.534 ]
 [2650.0693]
 [2647.083 ]
 [2622.8643]
 [2645.0317]
 [2691.2417]
 [2789.8706]
 [2858.6992]
 [2843.3958]
 [2827.3901]
 [2840.5613]
 [2812.363 ]
 [2877.7024]
 [2915.791 ]
 [2898.049 ]
 [2975.9822]
 [2980.2607]]"
SYNDIBANK,1,10,10,5,7,8,-,0.0019403037480997904,0.04404887907881187,,[[59.708782]]
SYNDIBANK,10,10,10,5,7,8,-,0.0058903229973194275,0.07674843970609062,,"[[63.570797]
 [62.05512 ]
 [60.958977]
 [61.059772]
 [57.995132]
 [57.197163]
 [56.68894 ]
 [54.9762  ]
 [59.850548]
 [59.792694]]"
